"filename", "language", "C++", "JSON", "YAML", "Dart", "JavaScript", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\new_ride_screen.dart", "Dart", 0, 0, 0, 493, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 533
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\panel_body.dart", "Dart", 0, 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 337
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\ride_selection_list.dart", "Dart", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 236
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\ride_selection_panel.dart", "Dart", 0, 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 412
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\ride_selection_tile.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\uber_drawer.dart", "Dart", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 145
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Splash Screen\fade_animation.dart", "Dart", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 120
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Splash Screen\splash_screen.dart", "Dart", 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 240
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\main_screen.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 84
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\page.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Auth Provider\user_auth_provider.dart", "Dart", 0, 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 425
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Data Provider\address_provider.dart", "Dart", 0, 0, 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46, 439
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Data Provider\cloud_functions.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Data Provider\request_assist.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Notifications\notifications_service.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 144
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Request Provider\ride_request.dart", "Dart", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 241
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\address_added_notifier.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\address_widget.dart", "Dart", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 84
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\custom_button.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 91
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\custom_info_window.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 71
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\custom_textfield.dart", "Dart", 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 217
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\divider.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\drawer_tile.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\floating_widget.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\is_user_allowed.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\message_widget.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 115
"d:\Fluter Projects\uber_app\uber_rider_app\lib\main.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 78
"d:\Fluter Projects\uber_app\uber_rider_app\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\Fluter Projects\uber_app\uber_rider_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Fluter Projects\uber_app\uber_rider_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
